,author,content,description,publishedAt,source,title,url,full_art
10,"Ken Thomas, Eliza Collins","WASHINGTON
Elizabeth Warren
is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her appeal.Ms. Warrens steady rise has prompted primary opponents such as 
Bernie Sand… [+5732 chars]","Democratic Opponents Search for Plan Against Elizabeth Warren The Wall Street Journal Elizabeth Warren is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her... View fu…",2019-09-21,The Wall Street Journal,Democratic Opponents Search for Plan Against Elizabeth Warren - The Wall Street Journal,https://www.wsj.com/articles/democratic-opponents-search-for-a-plan-against-elizabeth-warren-11569067200,"WASHINGTON—Elizabeth Warren is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her appeal.

Ms. Warren’s steady rise has prompted primary opponents such as Bernie Sanders, Kamala Harris and Pete Buttigieg to search for ways to blunt her momentum at a time when the leading contender, Joe Biden, has weathered a series of stumbles and direct attacks.

..."
11,Margot Sanger-Katz and Sydney Ember,"Were addressing it on both ends, Mr. Sanders said. Were addressing it now by trying to help the people who have past due medical bills. And were addressing it by finally creating a health care system that guarantees coverage to people without any premiums, wi… [+1461 chars]","On top of his “Medicare for all” proposal, Mr. Sanders’s new plan would wipe out an estimated $81 billion in existing medical debt and ignore such debt in credit scores.",2019-09-21,The New York Times,Bernie Sanders Calls for Eliminating Americans’ Medical Debt,https://www.nytimes.com/2019/09/21/us/politics/bernie-medical-debt-healthcare.html,"“We’re addressing it on both ends,” Mr. Sanders said. “We’re addressing it now by trying to help the people who have past due medical bills. And we’re addressing it by finally creating a health care system that guarantees coverage to people without any premiums, without any deductibles, without any out-of-pocket expenses.”

[Sign up for our politics newsletter and join the conversation around the 2020 presidential race.]

Medical debt affects Americans who lack health insurance, of course. But it is also increasingly affecting people who have insurance with holes, like high deductibles or limited networks of doctors whose care is paid for. Around 16 percent of adults with credit reports have at least one medical debt, according to a study published last year in the journal Health Affairs.

The plan calls for the government to negotiate and cancel the debts, though it does not specify the precise mechanism.

While eliminating every American’s medical debt would probably not come cheap, Mr. Sanders’s plan could wind up costing far less than the total amount of debt he is seeking to cancel. Craig Antico, a founder of the charity RIP Medical Debt, which buys and forgives medical debt, estimated that the market price for $81 billion in debt could be as low as $500 million . Most past-due medical debt never gets paid, which is why bill collectors are often willing to sell the debts for pennies on the dollar.

The plan would also create a public credit rating agency to “replace” for-profit companies like Equifax, and it would exclude medical debts from credit ratings. It would establish a new legal process, managed by the bankruptcy court system, to help adjudicate medical debts that are not yet in collections."
12,Emily Badger,"Mr. Sanders has similarly proposed a tax on empty homes, aimed at speculators who sit on vacant properties until they become more lucrative to redevelop, or simply profitable to resell. That is a real problem in some communities, leaving neighbors to live wit… [+2239 chars]","A plan for national rent control and for reining in speculators, but also for building wealth through homeownership.",2019-09-21,The New York Times,"Should People Profit From Housing? Bernie Sanders Says Yes, and No",https://www.nytimes.com/2019/09/19/upshot/Bernie-Sanders-housing-plan.html,"Mr. Sanders has similarly proposed a tax on empty homes, aimed at speculators who sit on vacant properties until they become more lucrative to redevelop, or simply profitable to resell. That is a real problem in some communities, leaving neighbors to live with blight for years. But owning an empty home doesn’t necessarily make you a speculator. Someone who has put a property on the market and struggled to sell it for months might end up facing this tax.

The full proposal, emphasizing the feel-good parts of the market but not the others, is trying to have it both ways, said Jenny Schuetz, a housing economist at the Brookings Institution who has been following housing proposals from the 2020 candidates.

“In some ideal universe, people would buy homes (or rental properties) that appreciated slightly faster than inflation, allowing them to build wealth, but without housing costs rising too fast to pressure renters, deter new homeowners, or create excess capital gains,” Ms. Schuetz wrote in an email. “In that context, both rent control and flipping taxes make sense. The problem is, with any semblance of a private real estate market, land and housing values don’t behave that way.”

She is skeptical that it is even possible to design or regulate a market that gives modest returns to individual homeowners, but never gives big returns to landlords; that penalizes greedy flippers, but never harms small-time contractors; that taxes vacant homes but doesn’t punish working families.

Mr. Sanders’s ideas invite a host of questions about how they would technically work (how do we police a million landlords?) and where their legal authority would come from (would the courts uphold a national rent control law?). But these deeper questions about the kind of housing market voters might want seem worth hashing out, regardless of those other details.

Mr. Orton, the Sanders adviser, pushed back against the logic of economists that, for one, rent control discourages developers from building and landlords from renting housing that Americans badly need.

“I would say to those economists, how is that working out?” he said of the current deference to the market. “That’s what we’ve been doing. When we’ve left this to private developers, everything from the crash of the housing market to how we’ve seen gentrification just explode in some of the most vulnerable communities, to how we’ve seen people priced out of what would normally be affordable housing — this current crisis is the result of that.”"
13,Sydney Ember,"But she also said she was interested in Ms. Warren and wanted to hear her speak.
Jiego Lim, an 18-year-old student at the University of Nevada, Reno, who was volunteering at Mr. Sanderss event there, said he supported Mr. Sanders but was also intrigued by Ma… [+1796 chars]","The Vermont senator benefited from a wave of enthusiasm from young people in 2016. Many still love him, but not him alone.",2019-09-20,The New York Times,"Young Voters Still ‘Feel the Bern,’ but Not Just for Bernie Sanders Anymore",https://www.nytimes.com/2019/09/20/us/politics/bernie-sanders-young-voters.html,"As he fights anew for the Democratic nomination, it is not lost on him or his allies that his success hinges, in no small part, on his ability to capture that enthusiasm again — for both the optics of his race and the actual votes.

But this time he is no longer an insurgent, nor is he the only anti-establishment candidate in the race — factors that helped boost his standing among young voters. With the race entering the crucial fall period, other candidates, including Ms. Warren and Andrew Yang, have begun siphoning off some of his support.

[Sign up for our politics newsletter hosted by Lisa Lerer and join the conversation around the 2020 presidential race.]

Even Mr. Sanders’s closest advisers acknowledge that he cannot take for granted a voting cohort they view as critical, even if it is traditionally unreliable in actually making it to the ballot box.

“Last time it was much more organic,” Faiz Shakir, Mr. Sanders’s campaign manager, said. “And this time it’s far more intentional.”

In interviews, many young voters still praised Mr. Sanders, sometimes breathlessly — citing his authenticity and conviction but also his calls for free college and universal health care and his proposal to cancel student debt. But many also expressed curiosity, if not exuberance, about other candidates"
14,Jennifer Finney Boylan,"Another loser last night was Senator Bernie Sanders, who did not show. Theres a second forum coming up in October, sponsored by U.C.L.A. and the Human Rights Campaign. Sanders isnt going to that one, either. His campaign cites scheduling conflicts.
Some of t… [+1558 chars]",Senators Warren and Booker shone in a forum focused on the lives of L.G.B.T.Q. Americans.,2019-09-21,The New York Times,Love in the Time of Democrats,https://www.nytimes.com/2019/09/21/opinion/elizabeth-warren-booker-lgbtq-forum-biden.html,"Meanwhile, as an older American — and one from Pennsylvania at that — I have a longtime affection for former Vice President Joe Biden, a fondness that has occasionally put me at odds with a younger generation of queer activists. I had hoped that Biden’s appearance at the forum would finally put to rest the uncertainty around his candidacy.

That didn’t happen. Instead, — I’m so sorry to have to say this — he appeared, once again, to be phoning it in. He said a few passionate but circuitous words as he stepped onto the stage, then looked over at the host, Lyz Lenz, an Iowa-based writer. “Do I go sit down?” he asked.

She nodded. “Honestly, I thought you’d go a little longer.”

Later, when she asked about Biden’s description of Mike Pence as “a decent guy,” he just looked at her and said, “You’re a lovely person.”

Backstage, Lenz said, Biden had called her “sweetheart.”"
15,Astead W. Herndon,"Jaylan Jones, 20, said, Older people have that conservative outlook on things, even older black Democrats. 
Young people dont want Biden. We want Beto. We want Bernie, said Ms. Jones, a junior. I think we can convince them. 
The difference in opinion across… [+1603 chars]",An organic effort by black millennials and Gen Z-ers to influence their older family members may be key to overtaking Mr. Biden in the race for the Democratic presidential nomination.,2019-09-20,The New York Times,"Younger Black Voters to Their Parents: Break Up With Joe Biden, I’m Bored",https://www.nytimes.com/2019/09/20/us/politics/joe-biden-black-voters.html,"“Young people are constantly signaling what’s next and what’s possible,” Mr. Robinson said. “And while there’s some love for Biden, but sometimes you’re in a relationship because you’re comfortable and it’s what you know.”

Another Texas Southern student, Christopher Anwuri, 22, said the generational differences in how black voters saw the primary were fueled by opposing theories of political change: incrementalism versus immediate upheaval.

“This generation is looking for an instant, quick fix for problems,” he said. Older black people, meanwhile, think “these things need to take time.”

It also comes back to Mr. Obama, and the long shadow he casts over national Democratic politics, particularly in black communities. Older black voters invoke his name in deference, and cite his embrace of Mr. Biden as something that helped him win the trust of skeptical white voters in 2008.

To younger generations, many of whom were in high school or younger at the time, Mr. Obama’s achievements exist on their own. Their first memories of Mr. Biden stem from his highly meme-able vice-presidential years. They are also more likely to hold his long and at times controversial record — on criminal justice, school segregation and the Clarence Thomas hearings, among other things — against him.

Jayla Lee, 19, said older black voters “like Biden because he was with Obama, and they feel like since they could trust Obama that means they can trust him.”

“But the things we endure are not the things they endured,” Ms. Lee said. “And I’m looking for someone who can change the things that affect me.”"
16,Lisa Lerer and Reid J. Epstein,"Im going to keep the focus on the fact that Donald Trump has broken the law if this report is accurate and he should be impeached, former Housing Secretary Julián Castro said during an interview Friday night in Cedar Rapids. Thats where the focus belongs righ… [+1556 chars]",Reports that President Trump sought help from the Ukranian government could offer former Vice President Joseph R. Biden Jr. both opportunities and risks.,2019-09-21,The New York Times,"For Biden, Whistle-Blower Complaint Could Cut 2 Ways",https://www.nytimes.com/2019/09/21/us/politics/biden-ukraine-whistleblower-complaint.html,"Though he has yet to call for impeachment proceedings against Mr. Trump — as have several of his rivals for the 2020 Democratic nomination — Mr. Biden on Saturday tiptoed closer to embracing the idea, which has been gaining support on Capitol Hill despite opposition from House Speaker Nancy Pelosi.

Mr. Biden, whose appearances on the campaign trail can be halting and sprinkled with misstatements, has generally delivered his strongest performances when focused on Mr. Trump. Speaking about the president allows Mr. Biden to discuss foreign policy and national security, issues that his campaign has said differentiate Mr. Biden, a former Senate Foreign Relations Committee chairman, from the rest of the 2020 Democratic field.

While Mr. Trump’s attacks give Mr. Biden the one-on-one showdown with the president that his campaign has spent months trying to create, it also exposes him and his son to another round of questions about Hunter Biden’s business activities in Ukraine.

The Biden campaign moved quickly to warn the news media over the story, underscoring a deep concern about how allegations about the younger Mr. Biden’s work will be received by voters. “Any article, segment analysis and commentary that does not demonstrably state at the outset that there is no factual basis for Trump’s claim, and in fact that they are wholly discredited, is misleading readers and viewers ,” said the deputy campaign manager, Kate Bedingfield, in an email to reporters.

But Biden advisers also seized on the furor to portray Mr. Trump as fixated on, and worried about, a potential general election race against Mr. Biden.

“There is only one candidate the president is trying to get foreign governments to dig up bogus dirt on,” Anita Dunn, a senior adviser to Mr. Biden, said.

The effort by the president and his team to shift the focus to Mr. Biden could boomerang, casting the Democratic front-runner as a sympathetic figure unfairly attacked with foreign help. It could just as easily mark a defining moment for Mr. Biden, a 76-year-old politician first elected to the Senate in 1972 and long accustomed to playing by the more genteel political rules of a different era."
17,Matt Stevens and Maggie Astor,"The tragic story of the Triangle factory fire is a story about power, Ms. Warren said. A story of what happens when the rich and the powerful take control of government and use it to increase their own profits while they stick it to working people. But what h… [+1063 chars]",Here are six things that happened on the presidential campaign trail this week.,2019-09-21,The New York Times,"Bill de Blasio Bows Out, Elizabeth Warren’s Big Speech: This Week in the 2020 Race",https://www.nytimes.com/2019/09/21/us/politics/bill-de-blasio-elizabeth-warren-2020.html,"“The tragic story of the Triangle factory fire is a story about power,” Ms. Warren said. “A story of what happens when the rich and the powerful take control of government and use it to increase their own profits while they stick it to working people. But what happened in the aftermath of the fire is a different story about power — a story about our power, a story about what’s possible when we fight together as one.”

Our colleague Alexander Burns noted that in dueling speeches Monday night, Ms. Warren and President Trump laid out competing visions of populism.

Sanders shakes up his operation

With five months to go before the New Hampshire primary, Mr. Sanders overhauled his operations in the state, which he won by more than 22 percentage points in 2016.

Mr. Sanders, who hails from neighboring Vermont, almost certainly must win New Hampshire again next year to have a chance at the nomination.

The campaign also parted ways with its political director in Iowa, according to a report that surfaced later in the week. Read more about that move here.

‘A sham process’: Democrats call for Kavanaugh’s impeachment

Several candidates called for the impeachment of Justice Brett M. Kavanaugh after The New York Times published new information about allegations of sexual misconduct against him.

Ms. Warren, Mr. Sanders and Senator Kamala Harris of California were among those who called for the justice’s impeachment.

“He was put on the Court through a sham process and his place on the Court is an insult to the pursuit of truth and justice,” Ms. Harris wrote."
18,"Eliza Collins, John McCormick","Kamala Harris
s campaign says she is focusing her efforts on Iowa in the hopes of reviving her struggling campaign.The California senator isnt the first to try this.Virtually every election cycle, faltering presidential candidates go all in on the first stat… [+4851 chars]",Kamala Harris’s Iowa Strategy Is Well-Worn—and Risky The Wall Street Journal Kamala Harris embraces overheard 'I'm f--king moving to Iowa' comment Washington Examiner Iowa Democrats get green light for 'satellite caucuses' plan CNN Kamala Harris' big blunder …,2019-09-20,The Wall Street Journal,Kamala Harris’s Iowa Strategy Is Well-Worn—and Risky - The Wall Street Journal,https://www.wsj.com/articles/kamala-harriss-iowa-strategy-is-well-wornand-risky-11568985589,"Kamala Harris’s campaign says she is focusing her efforts on Iowa in the hopes of reviving her struggling campaign.

The California senator isn’t the first to try this.

Virtually every election cycle, faltering presidential candidates go all in on the first state to hold its nominating contest, hoping that a strong showing there will give..."
19,Eliza Collins,"BURLINGTON, Vt.
Bernie Sanders
says that if he is elected president, he will convince skeptics to support his agenda by building a movement so powerful that they will have no choice but to join him.It is the same thing he says happened when he was mayor her… [+7330 chars]","Sanders's 'Revolution' in Burlington: Working With Republicans, Business The Wall Street Journal Bernie Sanders's record as mayor of Vermont shows that at times he went to opponents, working with Republicans, police and business on key issues facing the...",2019-09-20,The Wall Street Journal,"Sanders's 'Revolution' in Burlington: Working With Republicans, Business - The Wall Street Journal",https://www.wsj.com/articles/sanderss-revolution-in-burlington-working-with-republicans-business-11568971800,"BURLINGTON, Vt.—Bernie Sanders says that if he is elected president, he will convince skeptics to support his agenda by building a movement so powerful that they will have no choice but to join him.

It is the same thing he says happened when he was mayor here in the 1980s, his only experience as a chief executive to date. “Democrats, Republicans were not stupid,” Mr. Sanders said in an interview in his campaign office. “And they looked around and they said, ‘Oh my God, we thought this guy was a fluke, he’d come and he’d go,..."
20,,"The Republicans are highly successful at getting their voters to the polls with promises of judicial appointments. It is beyond time for the Democrats to stress the importance of judicial appointments to their voters. If the president is re-elected, he will u… [+1966 chars]","We asked readers what topics have been slighted at past debates. They cited Social Security, foreign affairs, women’s issues, the deficit and many more.",2019-09-21,The New York Times,The Next Debate: Let’s Talk About …,https://www.nytimes.com/2019/09/21/opinion/letters/debate-issues.html,"To the Editor:

So far, so-called “women’s issues,” which are really everyone’s issues, have been missing from the debates. I want to see the candidates discuss: women’s reproductive health and freedom; the wage gap; domestic violence; the #MeToo movement; body shaming; underrepresentation on boards, in corporate upper management, in academia and in STEM fields; child care availability; and widespread cultural misogyny.

After all, we do make up more than half the population.

Diane Kravif

Los Angeles

To the Editor:

International relations have been consistently ignored. President Trump has seriously disrupted longstanding treaty commitments, agreements and positive relationships with many of our allies, while fawning over dictators. The United States is perceived as unreliable and untrustworthy. How would the candidates improve our foreign relations?

Jeanne Pierrette Dross

Albany

To the Editor:

Having lost a son to heroin use, I want to ask the following of the candidates: Our “war on drugs,” declared by President Nixon in 1971 , is a dismal failure. The historian Alfred McCoy wrote recently in The Nation that “ instead of reducing the traffic, the drug war has actually helped stimulate that ninefold increase in global opium production and a parallel surge in U.S. heroin users, from just 68,000 in 1970 to 886,000 in 2017.” Drug deaths reached 192 a day in 2017, with many of them between the ages of 12 and 25. That is a silent Parkland … every day. What is your solution to this catastrophe?

Bill Williams

New York

To the Editor:

One egregious omission to date from the Democratic debates is the future of Social Security, which according to recent projections will face a critical funding shortfall by 2034. This threatens the well-being of millions of Americans. Efforts to discredit and undermine the program, whether through benefit cuts or privatization, will ultimately erode the nation’s entire social welfare system."
21,"Ken Thomas, Eliza Collins","WASHINGTON
Elizabeth Warren
is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her appeal.Ms. Warrens steady rise has prompted primary opponents such as 
Bernie Sand… [+5732 chars]","Democratic Opponents Search for Plan Against Elizabeth Warren The Wall Street Journal Elizabeth Warren is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her... View fu…",2019-09-21,The Wall Street Journal,Democratic Opponents Search for Plan Against Elizabeth Warren - The Wall Street Journal,https://www.wsj.com/articles/democratic-opponents-search-for-a-plan-against-elizabeth-warren-11569067200,"WASHINGTON—Elizabeth Warren is building a broad coalition of Democratic voters, and her rivals are taking notice. But so far, they are still testing out ways to undercut her appeal.

Ms. Warren’s steady rise has prompted primary opponents such as Bernie Sanders, Kamala Harris and Pete Buttigieg to search for ways to blunt her momentum at a time when the leading contender, Joe Biden, has weathered a series of stumbles and direct attacks.

..."
22,Margot Sanger-Katz and Sydney Ember,"Were addressing it on both ends, Mr. Sanders said. Were addressing it now by trying to help the people who have past due medical bills. And were addressing it by finally creating a health care system that guarantees coverage to people without any premiums, wi… [+1461 chars]","On top of his “Medicare for all” proposal, Mr. Sanders’s new plan would wipe out an estimated $81 billion in existing medical debt and ignore such debt in credit scores.",2019-09-21,The New York Times,Bernie Sanders Calls for Eliminating Americans’ Medical Debt,https://www.nytimes.com/2019/09/21/us/politics/bernie-medical-debt-healthcare.html,"“We’re addressing it on both ends,” Mr. Sanders said. “We’re addressing it now by trying to help the people who have past due medical bills. And we’re addressing it by finally creating a health care system that guarantees coverage to people without any premiums, without any deductibles, without any out-of-pocket expenses.”

[Sign up for our politics newsletter and join the conversation around the 2020 presidential race.]

Medical debt affects Americans who lack health insurance, of course. But it is also increasingly affecting people who have insurance with holes, like high deductibles or limited networks of doctors whose care is paid for. Around 16 percent of adults with credit reports have at least one medical debt, according to a study published last year in the journal Health Affairs.

The plan calls for the government to negotiate and cancel the debts, though it does not specify the precise mechanism.

While eliminating every American’s medical debt would probably not come cheap, Mr. Sanders’s plan could wind up costing far less than the total amount of debt he is seeking to cancel. Craig Antico, a founder of the charity RIP Medical Debt, which buys and forgives medical debt, estimated that the market price for $81 billion in debt could be as low as $500 million . Most past-due medical debt never gets paid, which is why bill collectors are often willing to sell the debts for pennies on the dollar.

The plan would also create a public credit rating agency to “replace” for-profit companies like Equifax, and it would exclude medical debts from credit ratings. It would establish a new legal process, managed by the bankruptcy court system, to help adjudicate medical debts that are not yet in collections."
23,Emily Badger,"Mr. Sanders has similarly proposed a tax on empty homes, aimed at speculators who sit on vacant properties until they become more lucrative to redevelop, or simply profitable to resell. That is a real problem in some communities, leaving neighbors to live wit… [+2239 chars]","A plan for national rent control and for reining in speculators, but also for building wealth through homeownership.",2019-09-21,The New York Times,"Should People Profit From Housing? Bernie Sanders Says Yes, and No",https://www.nytimes.com/2019/09/19/upshot/Bernie-Sanders-housing-plan.html,"Mr. Sanders has similarly proposed a tax on empty homes, aimed at speculators who sit on vacant properties until they become more lucrative to redevelop, or simply profitable to resell. That is a real problem in some communities, leaving neighbors to live with blight for years. But owning an empty home doesn’t necessarily make you a speculator. Someone who has put a property on the market and struggled to sell it for months might end up facing this tax.

The full proposal, emphasizing the feel-good parts of the market but not the others, is trying to have it both ways, said Jenny Schuetz, a housing economist at the Brookings Institution who has been following housing proposals from the 2020 candidates.

“In some ideal universe, people would buy homes (or rental properties) that appreciated slightly faster than inflation, allowing them to build wealth, but without housing costs rising too fast to pressure renters, deter new homeowners, or create excess capital gains,” Ms. Schuetz wrote in an email. “In that context, both rent control and flipping taxes make sense. The problem is, with any semblance of a private real estate market, land and housing values don’t behave that way.”

She is skeptical that it is even possible to design or regulate a market that gives modest returns to individual homeowners, but never gives big returns to landlords; that penalizes greedy flippers, but never harms small-time contractors; that taxes vacant homes but doesn’t punish working families.

Mr. Sanders’s ideas invite a host of questions about how they would technically work (how do we police a million landlords?) and where their legal authority would come from (would the courts uphold a national rent control law?). But these deeper questions about the kind of housing market voters might want seem worth hashing out, regardless of those other details.

Mr. Orton, the Sanders adviser, pushed back against the logic of economists that, for one, rent control discourages developers from building and landlords from renting housing that Americans badly need.

“I would say to those economists, how is that working out?” he said of the current deference to the market. “That’s what we’ve been doing. When we’ve left this to private developers, everything from the crash of the housing market to how we’ve seen gentrification just explode in some of the most vulnerable communities, to how we’ve seen people priced out of what would normally be affordable housing — this current crisis is the result of that.”"
24,Sydney Ember,"But she also said she was interested in Ms. Warren and wanted to hear her speak.
Jiego Lim, an 18-year-old student at the University of Nevada, Reno, who was volunteering at Mr. Sanderss event there, said he supported Mr. Sanders but was also intrigued by Ma… [+1796 chars]","The Vermont senator benefited from a wave of enthusiasm from young people in 2016. Many still love him, but not him alone.",2019-09-20,The New York Times,"Young Voters Still ‘Feel the Bern,’ but Not Just for Bernie Sanders Anymore",https://www.nytimes.com/2019/09/20/us/politics/bernie-sanders-young-voters.html,"As he fights anew for the Democratic nomination, it is not lost on him or his allies that his success hinges, in no small part, on his ability to capture that enthusiasm again — for both the optics of his race and the actual votes.

But this time he is no longer an insurgent, nor is he the only anti-establishment candidate in the race — factors that helped boost his standing among young voters. With the race entering the crucial fall period, other candidates, including Ms. Warren and Andrew Yang, have begun siphoning off some of his support.

[Sign up for our politics newsletter hosted by Lisa Lerer and join the conversation around the 2020 presidential race.]

Even Mr. Sanders’s closest advisers acknowledge that he cannot take for granted a voting cohort they view as critical, even if it is traditionally unreliable in actually making it to the ballot box.

“Last time it was much more organic,” Faiz Shakir, Mr. Sanders’s campaign manager, said. “And this time it’s far more intentional.”

In interviews, many young voters still praised Mr. Sanders, sometimes breathlessly — citing his authenticity and conviction but also his calls for free college and universal health care and his proposal to cancel student debt. But many also expressed curiosity, if not exuberance, about other candidates"
25,Jennifer Finney Boylan,"Another loser last night was Senator Bernie Sanders, who did not show. Theres a second forum coming up in October, sponsored by U.C.L.A. and the Human Rights Campaign. Sanders isnt going to that one, either. His campaign cites scheduling conflicts.
Some of t… [+1558 chars]",Senators Warren and Booker shone in a forum focused on the lives of L.G.B.T.Q. Americans.,2019-09-21,The New York Times,Love in the Time of Democrats,https://www.nytimes.com/2019/09/21/opinion/elizabeth-warren-booker-lgbtq-forum-biden.html,"Meanwhile, as an older American — and one from Pennsylvania at that — I have a longtime affection for former Vice President Joe Biden, a fondness that has occasionally put me at odds with a younger generation of queer activists. I had hoped that Biden’s appearance at the forum would finally put to rest the uncertainty around his candidacy.

That didn’t happen. Instead, — I’m so sorry to have to say this — he appeared, once again, to be phoning it in. He said a few passionate but circuitous words as he stepped onto the stage, then looked over at the host, Lyz Lenz, an Iowa-based writer. “Do I go sit down?” he asked.

She nodded. “Honestly, I thought you’d go a little longer.”

Later, when she asked about Biden’s description of Mike Pence as “a decent guy,” he just looked at her and said, “You’re a lovely person.”

Backstage, Lenz said, Biden had called her “sweetheart.”"
26,Astead W. Herndon,"Jaylan Jones, 20, said, Older people have that conservative outlook on things, even older black Democrats. 
Young people dont want Biden. We want Beto. We want Bernie, said Ms. Jones, a junior. I think we can convince them. 
The difference in opinion across… [+1603 chars]",An organic effort by black millennials and Gen Z-ers to influence their older family members may be key to overtaking Mr. Biden in the race for the Democratic presidential nomination.,2019-09-20,The New York Times,"Younger Black Voters to Their Parents: Break Up With Joe Biden, I’m Bored",https://www.nytimes.com/2019/09/20/us/politics/joe-biden-black-voters.html,"“Young people are constantly signaling what’s next and what’s possible,” Mr. Robinson said. “And while there’s some love for Biden, but sometimes you’re in a relationship because you’re comfortable and it’s what you know.”

Another Texas Southern student, Christopher Anwuri, 22, said the generational differences in how black voters saw the primary were fueled by opposing theories of political change: incrementalism versus immediate upheaval.

“This generation is looking for an instant, quick fix for problems,” he said. Older black people, meanwhile, think “these things need to take time.”

It also comes back to Mr. Obama, and the long shadow he casts over national Democratic politics, particularly in black communities. Older black voters invoke his name in deference, and cite his embrace of Mr. Biden as something that helped him win the trust of skeptical white voters in 2008.

To younger generations, many of whom were in high school or younger at the time, Mr. Obama’s achievements exist on their own. Their first memories of Mr. Biden stem from his highly meme-able vice-presidential years. They are also more likely to hold his long and at times controversial record — on criminal justice, school segregation and the Clarence Thomas hearings, among other things — against him.

Jayla Lee, 19, said older black voters “like Biden because he was with Obama, and they feel like since they could trust Obama that means they can trust him.”

“But the things we endure are not the things they endured,” Ms. Lee said. “And I’m looking for someone who can change the things that affect me.”"
27,Lisa Lerer and Reid J. Epstein,"Im going to keep the focus on the fact that Donald Trump has broken the law if this report is accurate and he should be impeached, former Housing Secretary Julián Castro said during an interview Friday night in Cedar Rapids. Thats where the focus belongs righ… [+1556 chars]",Reports that President Trump sought help from the Ukranian government could offer former Vice President Joseph R. Biden Jr. both opportunities and risks.,2019-09-21,The New York Times,"For Biden, Whistle-Blower Complaint Could Cut 2 Ways",https://www.nytimes.com/2019/09/21/us/politics/biden-ukraine-whistleblower-complaint.html,"Though he has yet to call for impeachment proceedings against Mr. Trump — as have several of his rivals for the 2020 Democratic nomination — Mr. Biden on Saturday tiptoed closer to embracing the idea, which has been gaining support on Capitol Hill despite opposition from House Speaker Nancy Pelosi.

Mr. Biden, whose appearances on the campaign trail can be halting and sprinkled with misstatements, has generally delivered his strongest performances when focused on Mr. Trump. Speaking about the president allows Mr. Biden to discuss foreign policy and national security, issues that his campaign has said differentiate Mr. Biden, a former Senate Foreign Relations Committee chairman, from the rest of the 2020 Democratic field.

While Mr. Trump’s attacks give Mr. Biden the one-on-one showdown with the president that his campaign has spent months trying to create, it also exposes him and his son to another round of questions about Hunter Biden’s business activities in Ukraine.

The Biden campaign moved quickly to warn the news media over the story, underscoring a deep concern about how allegations about the younger Mr. Biden’s work will be received by voters. “Any article, segment analysis and commentary that does not demonstrably state at the outset that there is no factual basis for Trump’s claim, and in fact that they are wholly discredited, is misleading readers and viewers ,” said the deputy campaign manager, Kate Bedingfield, in an email to reporters.

But Biden advisers also seized on the furor to portray Mr. Trump as fixated on, and worried about, a potential general election race against Mr. Biden.

“There is only one candidate the president is trying to get foreign governments to dig up bogus dirt on,” Anita Dunn, a senior adviser to Mr. Biden, said.

The effort by the president and his team to shift the focus to Mr. Biden could boomerang, casting the Democratic front-runner as a sympathetic figure unfairly attacked with foreign help. It could just as easily mark a defining moment for Mr. Biden, a 76-year-old politician first elected to the Senate in 1972 and long accustomed to playing by the more genteel political rules of a different era."
28,Matt Stevens and Maggie Astor,"The tragic story of the Triangle factory fire is a story about power, Ms. Warren said. A story of what happens when the rich and the powerful take control of government and use it to increase their own profits while they stick it to working people. But what h… [+1063 chars]",Here are six things that happened on the presidential campaign trail this week.,2019-09-21,The New York Times,"Bill de Blasio Bows Out, Elizabeth Warren’s Big Speech: This Week in the 2020 Race",https://www.nytimes.com/2019/09/21/us/politics/bill-de-blasio-elizabeth-warren-2020.html,"“The tragic story of the Triangle factory fire is a story about power,” Ms. Warren said. “A story of what happens when the rich and the powerful take control of government and use it to increase their own profits while they stick it to working people. But what happened in the aftermath of the fire is a different story about power — a story about our power, a story about what’s possible when we fight together as one.”

Our colleague Alexander Burns noted that in dueling speeches Monday night, Ms. Warren and President Trump laid out competing visions of populism.

Sanders shakes up his operation

With five months to go before the New Hampshire primary, Mr. Sanders overhauled his operations in the state, which he won by more than 22 percentage points in 2016.

Mr. Sanders, who hails from neighboring Vermont, almost certainly must win New Hampshire again next year to have a chance at the nomination.

The campaign also parted ways with its political director in Iowa, according to a report that surfaced later in the week. Read more about that move here.

‘A sham process’: Democrats call for Kavanaugh’s impeachment

Several candidates called for the impeachment of Justice Brett M. Kavanaugh after The New York Times published new information about allegations of sexual misconduct against him.

Ms. Warren, Mr. Sanders and Senator Kamala Harris of California were among those who called for the justice’s impeachment.

“He was put on the Court through a sham process and his place on the Court is an insult to the pursuit of truth and justice,” Ms. Harris wrote."
